22-B ,Agra Taj Colony to Qazafi Town,"(66.9824193, 24.8714301)","(66.9835374, 24.8693835)","(66.9965672, 24.8618271)","(66.9980564, 24.8578697)","(66.9950779, 24.8503898)","(67.0007949, 24.8591979)","(67.0006161, 24.8605147)","(67.0150063, 24.8393376)","(67.0139571, 24.8646852)","(67.0179802, 24.8721774)","(67.0297056, 24.8813263)","(67.0237467, 24.8819725)","(67.0321835, 24.8821443)","(67.0099388, 24.8614622)","(67.0438173, 24.8932378)","(67.062179, 24.9976968)","(67.0684006, 24.8901012)","(67.07685839999999, 24.8872435)","(67.0814333, 24.8960374)","(67.1011751, 24.902876)","(67.0633541, 24.8599839)","(67.0960979, 24.8902281)","(67.1259864, 24.8862903)","(67.13508019999999, 24.882791)","(67.16808259999999, 24.9008297)","(67.19757919999999, 24.9028849)","(67.1910982, 24.8398779)","(67.2117015, 24.8584065)","(67.2230313, 24.8502038)",,,,
4,New Karachi to Tower,"(67.062179, 24.9976968)","(67.0644531, 25.0185857)","(67.040385, 24.935491)","(67.03536090000001, 24.9255821)","(67.0629352, 24.8038688)","(67.0301065, 24.9064621)","(66.96933530000001, 24.9246687)","(67.0099388, 24.8614622)","(67.0143246, 24.861786)","(67.0021069, 24.8570777)","(67.00421349999999, 24.8557389)","(67.030388, 24.856621)",,,,,,,,,,,,,,,,,,,,,
4-B ,New Karachi to Saddar,"(67.062179, 24.9976968)","(67.135825, 24.849999)","(67.0558398, 24.9144164)","(67.0405017, 24.9018297)","(67.0438173, 24.8932378)","(67.03985229999999, 24.8807075)","(67.01752909999999, 24.8607321)","(66.995155, 24.847778)","(67.0274036, 24.8606946)","(66.9977195, 24.9333095)","(67.0166725, 24.8531846)",,,,,,,,,,,,,,,,,,,,,,
4-C ,New Karachi Block 5-F to Saddar,"(67.1462748, 24.9566109)","(67.135825, 24.849999)","(67.0558398, 24.9144164)","(67.0405017, 24.9018297)","(67.0438173, 24.8932378)","(67.03985229999999, 24.8807075)","(67.01752909999999, 24.8607321)","(66.995155, 24.847778)","(67.0274036, 24.8606946)","(66.9977195, 24.9333095)","(67.0166725, 24.8531846)",,,,,,,,,,,,,,,,,,,,,,
4-G ,Nai Abadi to Tower ,"(72.7008784, 30.9160647)",None,"(67.06406059999999, 24.9861075)","(67.0050868, 24.8532707)","(67.06675349999999, 24.9728003)","(67.067159, 24.9697748)","(67.0542782, 24.9589959)","(67.040385, 24.935491)","(67.0629352, 24.8038688)","(66.96933530000001, 24.9246687)","(67.049352, 24.9092658)","(67.088297, 24.8785103)","(67.0438173, 24.8932378)","(67.03985229999999, 24.8807075)","(67.0364525, 24.8730489)","(67.0166725, 24.8531846)","(67.02950299999999, 24.8626529)","(67.0158508, 24.8565591)","(67.01559139999999, 24.8563594)","(67.01752909999999, 24.8607321)","(67.030388, 24.856621)",,,,,,,,,,,,
4-H ,Surjani Town to Sea View,"(67.06905499999999, 25.035399)","(66.93476509999999, 24.9560244)","(67.12778329999999, 24.8567738)","(67.062179, 24.9976968)","(66.9561253, 24.9338405)","(67.0558398, 24.9144164)","(67.049352, 24.9092658)","(67.0438173, 24.8932378)","(67.03985229999999, 24.8807075)","(67.02765, 24.86616)","(67.02950299999999, 24.8626529)","(67.0167444, 24.9324093)","(67.0458993, 24.8521103)","(67.04124, 24.8438739)","(67.03268489999999, 24.8403923)","(67.04348039999999, 24.8211201)","(67.0597288, 24.7731313)",,,,,,,,,,,,,,,,
4-J ,Nai Abadi to Tower,"(72.7008784, 30.9160647)","(67.0050868, 24.8532707)","(67.067159, 24.9697748)","(67.0542782, 24.9589959)","(67.040385, 24.935491)","(67.0629352, 24.8038688)","(66.96933530000001, 24.9246687)","(67.049352, 24.9092658)","(67.0438173, 24.8932378)","(67.03985229999999, 24.8807075)","(67.01752909999999, 24.8607321)","(67.030388, 24.856621)",,,,,,,,,,,,,,,,,,,,,
4-K ,Kali Market toTower,"(67.08155, 24.9863)","(67.062179, 24.9976968)","(67.0644531, 25.0185857)","(67.0423168, 24.9354963)","(67.03536090000001, 24.9255821)","(67.0311713, 24.9185329)","(66.96933530000001, 24.9246687)","(67.0099388, 24.8614622)","(67.03985229999999, 24.8807075)","(67.0364525, 24.8730489)","(67.0166725, 24.8531846)","(67.02950299999999, 24.8626529)","(67.0247706, 24.8612304)","(67.02182429999999, 24.8628099)","(67.0178376, 24.8608075)","(67.030388, 24.856621)",,,,,,,,,,,,,,,,,
4-L ,Maymar Complex to Tower ,"(67.1188122, 25.0027479)","(67.17415919999999, 24.8322369)","(67.0844173, 24.9439021)","(66.9561253, 24.9338405)","(67.0558398, 24.9144164)","(67.0405017, 24.9018297)","(67.0438173, 24.8932378)","(67.0364525, 24.8730489)","(67.0166725, 24.8531846)","(67.02950299999999, 24.8626529)","(67.01559139999999, 24.8563594)","(67.01752909999999, 24.8607321)","(67.030388, 24.856621)",,,,,,,,,,,,,,,,,,,,
4-Q ,Faqeer Colony to Kharkar Chowrangi ,"(66.9842808, 24.928753)",None,"(66.9793775, 24.8912348)","(66.9883763, 24.8835908)","(66.9980564, 24.8676664)","(67.0006161, 24.8605147)","(67.0139837, 24.8402175)","(67.00688629999999, 24.8733181)","(67.034313, 24.8883911)","(67.0085929, 24.8596518)","(67.0158508, 24.8565591)","(67.07762989999999, 24.8901725)","(67.0152682, 24.8550065)","(67.01752909999999, 24.8607321)","(67.0297887, 24.8641111)","(67.02950299999999, 24.8626529)","(67.0312106, 24.8594864)","(67.0319859, 24.8589731)","(67.04124, 24.8438739)","(67.0315657, 24.8247963)","(67.0409438, 24.8321947)","(67.04348039999999, 24.8211201)","(67.03656579999999, 24.8138194)","(67.1378884, 24.9634159)","(67.075299, 24.8270948)","(67.0325896, 24.8182246)","(67.0204889, 24.8155704)",,,,,,
4-S ,Surjani Town to Tower ,"(67.06905499999999, 25.035399)","(67.0672733, 24.9648416)","(67.0050868, 24.8532707)","(67.06675349999999, 24.9728003)","(67.067159, 24.9697748)","(67.0540552, 24.9623968)","(67.0542782, 24.9589959)","(67.040385, 24.935491)","(67.0629352, 24.8038688)","(67.0311713, 24.9185329)","(67.0313859, 24.9150373)","(67.014327, 24.9111548)","(67.0312965, 24.8903103)","(67.03985229999999, 24.8807075)","(67.0364525, 24.8730489)","(67.01752909999999, 24.8607321)","(67.0298, 24.91133)","(67.030388, 24.856621)",,,,,,,,,,,,,,,
45-A ,Khokrapar No.4 to Hub River Road,"(67.22269059999999, 24.9058929)","(67.19242799999999, 24.889909)","(67.1944762, 24.8921639)","(67.1810787, 24.9011532)","(67.1925706, 24.8832661)","(67.1885516, 24.8786941)","(67.1557914, 24.8871241)","(67.1259864, 24.8862903)","(67.068269, 24.9296872)","(67.0970104, 24.9175697)","(67.0738587, 24.902212)","(67.028587, 24.9110982)","(66.96933530000001, 24.9246687)","(67.0303789, 24.8277325)","(67.016022, 24.905744)","(66.9895172, 24.8940574)","(66.9883763, 24.8835908)","(66.9793775, 24.8912348)",,,,,,,,,,,,,,,
5,Al-Noor Society to Keamari,"(67.0769914, 24.9490249)","(67.07091299999999, 24.9421209)","(66.9561253, 24.9338405)","(67.0645208, 24.9273148)","(67.0540237, 24.9182969)","(67.0405017, 24.9018297)","(67.0438173, 24.8932378)","(67.0568846, 24.8946807)","(67.046291, 24.8820998)","(67.03985229999999, 24.8807075)","(67.0364525, 24.8730489)","(67.01752909999999, 24.8607321)","(66.995155, 24.847778)","(66.8320207, 24.8847233)",,,,,,,,,,,,,,,,,,,
5-C ,Gulberg Chowrangi to Tower,"(67.0645208, 24.9273148)","(67.07073129999999, 24.9309743)","(67.0751606, 24.9351611)","(67.1386691, 24.928781)","(67.0815812, 24.8782006)","(74.33950180000001, 31.4871738)","(67.0717785, 24.9278847)","(67.06656559999999, 24.9207427)","(67.0645208, 24.9273148)","(67.0558398, 24.9144164)","(67.0405017, 24.9018297)","(67.0438173, 24.8932378)","(67.03985229999999, 24.8807075)","(67.01752909999999, 24.8607321)","(67.0166725, 24.8531846)","(67.02950299999999, 24.8626529)","(67.01559139999999, 24.8563594)","(67.030388, 24.856621)",,,,,,,,,,,,,,,
5-D ,Musa Colony to Dockyard,"(67.04720379999999, 24.9204103)","(67.071628, 24.9332868)","(67.049352, 24.9092658)","(67.0438173, 24.8932378)","(67.03985229999999, 24.8807075)","(67.0758318, 24.901636)","(67.02950299999999, 24.8626529)","(67.0158508, 24.8565591)","(67.01559139999999, 24.8563594)","(66.995155, 24.847778)","(67.030388, 24.856621)","(66.9742285, 24.8400155)",,,,,,,,,,,,,,,,,,,,,
51-C ,Chamra Chowrangi to New Sabzi Mandi,"(67.1812114, 24.8521146)","(67.12711159999999, 24.8404313)","(67.14242399999999, 24.8432892)","(67.1601541, 24.8464619)","(67.1813492, 24.8507454)","(67.20607249999999, 24.8517714)","(67.2117015, 24.8584065)",None,"(67.1885516, 24.8786941)","(67.18269699999999, 24.8821091)","(67.1753509, 24.884567)","(67.16808259999999, 24.9008297)","(67.1557914, 24.8871241)","(67.1259864, 24.8862903)","(67.1156633, 24.9011695)","(67.1136106, 24.9044088)","(67.1060925, 24.9116457)","(67.0970104, 24.9175697)","(67.105248, 24.9348475)","(67.08715, 24.9255739)","(67.0856641, 24.9379075)","(67.0844173, 24.9439021)","(67.0915598, 24.9510742)","(67.0894718, 25.033542)","(67.1589127, 24.9958573)",,,,,,,,
52-A ,Labour Square to Fisheries,"(67.2445654, 24.8324092)","(67.04669179999999, 24.8789911)","(67.2244549, 24.8411034)","(67.2230313, 24.8502038)","(67.2117015, 24.8584065)","(67.1910982, 24.8398779)","(67.19757919999999, 24.9028849)","(67.1259864, 24.8862903)","(67.0530072, 24.8871202)","(67.034313, 24.8883911)","(67.0006161, 24.8605147)","(67.0321835, 24.8821443)","(66.9899645, 24.8538012)","(67.05972109999999, 24.9229025)","(66.9742285, 24.8400155)","(66.97609, 24.8490635)",,,,,,,,,,,,,,,,,
6,Fayyaz Plaza to Tower,"(67.0849735, 24.9336457)","(67.0717785, 24.9278847)","(67.06656559999999, 24.9207427)","(67.0558398, 24.9144164)","(67.0405017, 24.9018297)","(67.0438173, 24.8932378)","(67.03985229999999, 24.8807075)","(67.01752909999999, 24.8607321)","(67.0166725, 24.8531846)","(67.02950299999999, 24.8626529)","(67.01559139999999, 24.8563594)","(67.030388, 24.856621)",,,,,,,,,,,,,,,,,,,,,
6-B ,Yasinabad to Tower,"(67.076154, 24.91993)","(81.8341459, 25.439397)","(67.05762930000002, 24.916498)","(67.0558398, 24.9144164)","(67.049352, 24.9092658)","(66.96933530000001, 24.9246687)","(67.014327, 24.9111548)","(67.0129003, 24.8860225)","(67.0099388, 24.8614622)","(67.03985229999999, 24.8807075)","(67.01752909999999, 24.8607321)","(67.0166725, 24.8531846)","(67.01559139999999, 24.8563594)","(67.0358176, 24.8345649)","(67.030388, 24.856621)",,,,,,,,,,,,,,,,,,
60,Sindhi Hotel New Karachi to Lee Market,"(67.0776352, 24.9966672)","(67.062179, 24.9976968)","(67.02652119999999, 24.9531228)","(67.0075506, 24.9424996)","(66.9988748, 24.9067773)","(67.0173647, 24.9030259)","(67.0029966, 24.8690879)","(67.0125769, 24.8780651)",None,None,"(67.0006161, 24.8605147)",,,,,,,,,,,,,,,,,,,,,,
61-A ,Pakistan Refinery to Saddar,"(67.11489879999999, 24.8085661)","(67.0932065, 24.8234025)","(67.0807149, 24.8257241)","(67.0740126, 24.8393459)","(67.06785719999999, 24.8368995)","(67.055794, 24.8466809)","(67.0458993, 24.8521103)","(67.0167444, 24.9324093)","(67.0166725, 24.8531846)",,,,,,,,,,,,,,,,,,,,,,,,
7-C ,Dockyard to Bufferzone,"(66.9742285, 24.8400155)","(67.0321835, 24.8821443)","(67.0006161, 24.8605147)","(66.9980564, 24.8676664)","(66.9950779, 24.8783796)","(66.9883763, 24.8835908)",None,"(67.0303789, 24.8277325)","(67.0173647, 24.9030259)","(67.02422709999999, 24.9028081)","(67.014327, 24.9111548)","(67.0382446, 24.8838546)","(67.049352, 24.9092658)","(67.0558398, 24.9144164)","(67.0302969, 24.859007)","(67.0451559, 24.9241029)","(67.0659143, 24.9477178)","(67.0498101, 24.9316795)","(67.0687997, 24.9581978)",,,,,,,,,,,,,,
